Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
About Leaflet Storymaps,,,,"The <a href='https://github.com/HandsOnDataViz/leaflet-storymaps-with-google-sheets' target='_blank'>Leaflet Storymaps code template</a> is designed to guide readers along a point-by-point tour, with a scrolling narrative to display text, images, audio, video, and scanned map backgrounds. Readers can follow the scrolling narrative or click on any marker to go directly to a specific chapter. You can create your own version by entering your map data into a linked Google Sheet (or CSV file) and uploading it into a free GitHub repository to host online. Learn more in our book, Hands-On Data Visualization. ",17,Numbered,blue,"Los Angeles, California",34.0522,-118.2437,,,,
"Los Angeles, California",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Los_Angeles_with_Mount_Baldy.jpg/1280px-Los_Angeles_with_Mount_Baldy.jpg,"By Alek Leckszas - Own work, CC BY-SA 4.0",https://commons.wikimedia.org/w/index.php?curid=76431252,"The city of Los Angeles was established in the year 1871. Originally, this city was part of the Spanish colonization. Now it is home to plenty of action movies and exciting scenery among other items",14,Hidden,,"Los Angeles, California",34.0522,-118.2437,,,,
,media/google-sheet-screenshot.png,Screenshot of linked Google Sheet.,,"Right-click on the tiny ""View data"" link at the bottom of the map to open the contents of the linked Google Sheet in a new tab. Each row is a chapter, which contains the text of the story, links to media, and data about each point on the map. The Google Sheet also includes an ""Options"" tab with global settings for the overall map appearance.",14,Hidden,,"Los Angeles, California",34.0522,-118.2437,,,,
Little Tokyo,https://upload.wikimedia.org/wikipedia/commons/a/ac/20140622-0239_Little_Tokyo_LA.JPG,"Source: Nandaro, CC BY-SA 4.0",https://commons.wikimedia.org/wiki/File:20140622-0239_Little_Tokyo_LA.JPG,Little Tokyo is a Japanese district in downtown LA highlighting Japanese-American culture. It has one of the biggest Japanese populations in the US,16,Numbered,blue,"Little Tokyo, Los Angeles, California",34.0523,-118.2395,,,,
Petersen Automotive Museum,https://upload.wikimedia.org/wikipedia/commons/b/ba/Petersen_Automotive_Museum.jpg,"Source: David Zaitz, CC BY-SA 4.0",https://commons.wikimedia.org/wiki/File:Petersen_Automotive_Museum.jpg,"The Petersen Automotive Museum is home to one of the largest automotive collections in the United States. Located in the neighborhood, Miracle Mile, it's a hotspot for many automotive enthusiasts.",17,Numbered,blue,"Petersen Automotive Museum, Los Angeles, California",34.062,-118.3614,,,,
Chinatown,https://upload.wikimedia.org/wikipedia/commons/3/36/La-chinatown-sunyatsen2.jpg,"Source: Arnold C, Attribution, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:La-chinatown-sunyatsen2.jpg,"Chinatown is an ethnic center for many Chinese and Asian-American businesses. Chinatown is full of restaurants and shops, along with its own residential buildings. ",17,Numbered,blue,"Chinatown, Los Angeles, California",34.0623,-118.238,,,,
Disneyland,https://upload.wikimedia.org/wikipedia/commons/c/c0/SleepingBeautyCastle.JPG,"Cd637, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:SleepingBeautyCastle.JPG,"Disneyland is a theme park in California, serving the community since 1955. <br><br> Disneyland is by far one of the most popular destinations in California",17,Numbered,blue,"Disneyland, Los Angeles, California",33.8121,-117.919,,,,
Santa Monica Pier,https://www.youtube.com/embed/k-BtkUxymKU,"Source: The City of Santa Monica, California",https://www.santamonica.com/experience-santa-monica/neighborhoods/santa-monica-pier-ocean-avenue/,"Santa Monica Pier is a popular destination for many tourists. It's an amusement park on the pier, with a great view for fishing along with a concession stand.",17,Numbered,blue,"Santa Monica Pier, Los Angeles, California",34.0099,-118.496,,,,
Venice Beach ,https://upload.wikimedia.org/wikipedia/commons/9/9b/Beach_bikepath_in_the_Venice_Beach_park%2C_California.jpg,Source: From Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Beach_bikepath_in_the_Venice_Beach_park,_California.jpg","Venice Beach is a boardwalk full of shops, restaurants, and performers. This is also the place where ""White Men Can't Jump"" was filmed. This place also has an outdoor gym and skatepark.",13,Plain,blue,"Venice Beach, California",33.985,-118.4695,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,0.7,,
Sunset Boulevard,https://upload.wikimedia.org/wikipedia/commons/0/0f/Sunset_Blvd_sign.JPG,"Source:  Mr Bullitt, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Sunset_Blvd_sign.JPG,Sunset Boulevard is a famous California street that extends from near the pacific ocean towards the inner city of Los Angeles. This street has many attractions.,13,Plain,blue,"Sunset Strip, California",34.090698,-118.386002,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,0.7,geojson/canal-1851.geojson,color:red;weight:3
,media/storymaps-link-annotated.png,,,"The code template assigns each chapter a unique web address that ends with a numerical hashtag (such as ...#12). This corresponds to the spreadsheet row number, <i>not</i> the marker number column, which may be duplicated or hidden. This means you can send people links to specific chapters, or refer back to another chapter in this storymap, such as <a href='index.html#3'>this internal link to chapter 3</a>.",,Hidden,,,,,,,,
Learn More,,,,"To learn more about the Leaflet Storymaps with Google Sheets template, see our book: Hands-On Data Visualization.",,,,,,,,,,